customer_id,acquisition_campaign_id,acquisition_channel,acquisition_date,first_product,second_product,initial_premium_euro,current_premium_euro,status,churn_date,churn_reason,total_premium_paid_euro,claims_count,claims_total_euro,last_renewal_date,next_renewal_date,segment,lifetime_months,customer_value_score
1001,13,Telefónica,18/08/2020,Salud,Vida,124.41,135.4,Active,,,6838.84,0,0,18/08/2021,18/08/2022,Familia Adulta,53,100
1002,7,Agentes,03/10/2023,Auto,,174.86,179.13,Churned,14/08/2024,Fallecimiento,1682.14,0,0,,,Familia Adulta,10,96
1003,9,Agentes,29/10/2023,Salud,Hogar,191.43,198.04,Active,,,2709.39,0,0,28/10/2024,28/10/2025,Soltero,14,100
1004,19,Digital,19/01/2021,Hogar,,155.2,165.01,Active,,,7675.26,0,0,19/01/2022,19/01/2023,Senior,48,100
1005,11,Telefónica,16/07/2020,Hogar,,166.54,182.2,Active,,,9183.02,0,0,16/07/2021,16/07/2022,Familia Joven,54,100
1006,18,Digital,04/07/2021,Hogar,,149.56,162.98,Churned,23/05/2022,Competencia,1569.81,1,1673.73,,,Pre-jubilación,10,73
1007,9,Agentes,26/11/2022,Vida,,90.8,95.21,Active,,,2288.31,1,3510.45,26/11/2023,25/11/2024,Pre-jubilación,25,91
1008,16,Partners,01/04/2023,Auto,Vida,302.69,313.82,Active,,,6383.62,0,0,31/03/2024,31/03/2025,Familia Joven,21,100
1009,14,Partners,30/10/2023,Salud,,142.49,142.83,Active,,,2067.48,0,0,29/10/2024,29/10/2025,Familia Adulta,14,100
1010,17,Partners,08/12/2022,Auto,,291.55,316.42,Active,,,7341.52,0,0,08/12/2023,07/12/2024,Familia Adulta,25,100
1011,1,Digital,09/07/2020,Vida,Salud,159.96,162.14,Churned,08/05/2023,Insatisfacción,5448.52,0,0,,,Soltero,34,100
1012,16,Partners,02/09/2020,Salud,,90.5,97.7,Churned,05/04/2021,Emigración,606.3,0,0,,,Pre-jubilación,7,79
1013,19,Digital,29/08/2022,Vida,,45.64,47.13,Active,,,1289.5,0,0,29/08/2023,28/08/2024,Pre-jubilación,28,100
1014,12,Telefónica,20/09/2020,Auto,,245.91,256.71,Churned,03/01/2023,Emigración,6572.45,1,684.8,,,Familia Joven,27,100
1015,5,Digital,01/10/2023,Vida,Auto,185.47,196.82,Active,,,2841.74,0,0,30/09/2024,30/09/2025,Senior,15,100
1016,3,Digital,03/09/2020,Vida,,85.47,92,Churned,21/03/2023,Fallecimiento,2557.5,0,0,,,Soltero,30,100
1017,7,Agentes,06/12/2020,Vida,,78.99,83.85,Active,,,4038.09,0,0,06/12/2021,06/12/2022,Joven,49,100
1018,2,Digital,01/12/2020,Vida,,96.41,104.32,Active,,,4932.84,0,0,01/12/2021,01/12/2022,Familia Joven,49,100
